데이터 수집,가공,검증,처리,Action,로깅
Crawling,DB저장,Backtesting,전략A,매수,Logging
API,,,전략B,매도,Debuging
,,,,손절,
,,,,,
,,,,,
,,,,,
,,항목,,,
데이터 수집,대상,회사목록,종목코드,Batch,
,,,종목명,Batch,
,,,주식 수 외,Batch,
,,재무제표,당좌자산,Batch,
,,,재고자산,Batch,
,,,유형자산,Batch,
,,,무형자산,Batch,
,,,투자자산,Batch,
,,손익계산서,매출액,Batch,
,,,매출원가,Batch,
,,,영업이익,Batch,
,,,판관비,Batch,
,,,경상이익,Batch,
,,,법인세,Batch,
,,,당기순이익,Batch,
,,주가(tick),종목코드,,
,,,가격,,
,,,체결량,,
,,,시간,,
가공,대상,Chart data,틱->분봉,,
,,,틱->일봉,,
,,,틱->주봉,,
,,,틱->월봉,,
,,재무재표,EBIT,,
,,,ROE,,
,,,ROA,,
,,,…,,
검증,대상,Backtesting,전략1,,
,,,전략2,,
,,,전략3,,
,,,기간,,
Action,,매수,,,
,,매도,,,
,,손절,,,
로깅,대상,Logging,매수,,
,,,매도,,
,,,손절,,
,,,전략선택,,
,,,Error 유무,,
,,,,,
데이터 가공은 병렬로 수행,,,,,
데이터 검증은 병렬로 수행,,,,,
